system:index,Blue,Green,L8_Blue,L8_CI,L8_CI_nd,L8_CarbI,L8_FII,L8_FII_nd,L8_Green,L8_IOI,L8_IOI_nd,L8_NDVI,L8_NDWI,L8_NIR,L8_Red,L8_SWIR1,L8_SWIR2,L8_TIR,NIR,RE1,RE2,RE3,RE4,Red,S2_CI,S2_CI_nd,S2_CarbI,S2_FII,S2_FII_nd,S2_IOI,S2_IOI_nd,S2_NDVI,S2_NDWI,SWIR1,SWIR2,label,.geo
1_00000000000000000000_0,0.045141667,0.064015,0.034616249999999994,1.594958416192324,0.22927473,0.6269755937507887,1.1107487412579569,0.052468937,0.061373750000000005,2.427580977142239,0.4164981,0.45250353,-0.5682687,0.22294083333333337,0.08403375000000002,0.24763125,0.15525875,0.0,0.21254286,0.13136667,0.17225294,0.19995715,0.22807333,0.089842305,1.5135684,0.20431846,0.6606903,1.2122667,0.09594989,1.9902301,0.33115515,0.40577573,-0.5370589,0.2764857,0.18267143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001_0,0.045141667,0.064015,0.034616249999999994,1.594958416192324,0.22927473,0.6269755937507887,1.1107487412579569,0.052468937,0.061373750000000005,2.427580977142239,0.4164981,0.45250353,-0.5682687,0.22294083333333337,0.08403375000000002,0.24763125,0.15525875,0.0,0.21254286,0.13136667,0.17225294,0.19995715,0.22807333,0.089842305,1.5135684,0.20431846,0.6606903,1.2122667,0.09594989,1.9902301,0.33115515,0.40577573,-0.5370589,0.2764857,0.18267143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002_0,0.045141667,0.064015,0.034616249999999994,1.594958416192324,0.22927473,0.6269755937507887,1.1107487412579569,0.052468937,0.061373750000000005,2.427580977142239,0.4164981,0.45250353,-0.5682687,0.22294083333333337,0.08403375000000002,0.24763125,0.15525875,0.0,0.21254286,0.13136667,0.17225294,0.19995715,0.22807333,0.089842305,1.5135684,0.20431846,0.6606903,1.2122667,0.09594989,1.9902301,0.33115515,0.40577573,-0.5370589,0.2764857,0.18267143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0,0.045141667,0.064015,0.034616249999999994,1.594958416192324,0.22927473,0.6269755937507887,1.1107487412579569,0.052468937,0.061373750000000005,2.427580977142239,0.4164981,0.45250353,-0.5682687,0.22294083333333337,0.08403375000000002,0.24763125,0.15525875,0.0,0.21254286,0.13136667,0.17225294,0.19995715,0.22807333,0.089842305,1.5135684,0.20431846,0.6606903,1.2122667,0.09594989,1.9902301,0.33115515,0.40577573,-0.5370589,0.2764857,0.18267143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a_0,0.063175,0.0874,0.04722499999999999,1.4498680738786278,0.18362951,0.6897179253867153,1.22099805573558,0.09950394,0.07692500000000001,2.2271395800247054,0.38025612,0.34509492,-0.47481608,0.21602000000000002,0.10517666666666668,0.26376,0.18192000000000003,0.0,0.21775238,0.157825,0.184675,0.20456667,0.23341818,0.124475,1.3739749,0.15753114,0.7278153,1.2681103,0.11820868,1.9703206,0.326672,0.27255967,-0.42717144,0.296,0.21543333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b_0,0.0318,0.051,0.034629999999999994,1.5003026756527704,0.20009685,0.6665321712933076,0.8970176623878003,-0.054286443,0.060012500000000024,2.0140773895466366,0.33644703,0.49634886,-0.5508593,0.20722000000000002,0.06974750000000002,0.18588,0.123895,301.93759589,0.177275,0.095,0.15958571,0.181275,0.20181666,0.0541,1.4640062,0.18831372,0.68305725,0.927079,-0.037840165,1.7012577,0.25960416,0.5323609,-0.5531705,0.1871,0.1278,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e_0,0.053033333,0.07197143,0.042522500000000005,1.3366148920034828,0.14406092,0.7481586551090098,1.2278347922001691,0.10226736,0.06939000000000001,2.18640131694985,0.37233266,0.35156885,-0.4726728,0.19378625,0.09297125,0.2379375,0.178015,304.63612267999997,0.19485,0.1282375,0.16178334,0.18006666,0.20653333,0.099542044,1.3399981,0.14529844,0.7462697,1.2389768,0.10673485,1.8769712,0.30482447,0.323745,-0.46052736,0.25589,0.19096297,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f_0,0.04362,0.055061907,0.031852500000000006,1.4077288658091272,0.16934168,0.7103640653310217,1.251602903988906,0.111743905,0.047664999999999985,1.9039321874264183,0.31127867,0.43291295,-0.52549124,0.1532375,0.060645000000000004,0.1917925,0.1362425,301.46761814,0.14903,0.0926975,0.12167,0.13575357,0.15921167,0.0697375,1.3776295,0.15882604,0.7258846,1.2957593,0.12882856,1.5987506,0.2303994,0.362451,-0.4604205,0.2063,0.14975,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010_0,0.0567,0.0769,0.0441725,1.4567227796876785,0.18590733,0.6864724118712553,1.3601174965651206,0.15258457,0.06943583333333332,2.207453732525893,0.37645242,0.36801383,-0.5049241,0.21107,0.09750875,0.28708,0.19707249999999998,303.74743748000003,0.20828333,0.14401667,0.1688625,0.19137777,0.22465284,0.113725,1.4002337,0.16674782,0.71416646,1.4223428,0.17435302,2.005732,0.33460468,0.29365182,-0.4606978,0.31953335,0.2282,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015_0,0.05606,0.07973,0.04554749999999999,1.3723508207926114,0.15695436,0.7286766509327715,1.5836122555343513,0.22589003,0.07510312499999999,2.580053789999451,0.44134918,0.28295052,-0.47362888,0.21025875000000002,0.11751499999999998,0.3329683333333333,0.24262625,305.37099698,0.20583333,0.15165,0.17293637,0.19034,0.21389334,0.13054,1.2918681,0.12734944,0.7740728,1.6208345,0.23688428,2.3285763,0.39914253,0.2238386,-0.441595,0.3466857,0.26836,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018_0,0.045875,0.064235,0.047967499999999996,1.3918550779962173,0.16382894,0.7184656045079412,1.446617933488831,0.18254502,0.07648500000000001,2.1838744983582634,0.37183455,0.32997537,-0.46216863,0.20793499999999998,0.10475499999999999,0.30080250000000003,0.21611625,304.49256584,0.19575,0.13,0.1668,0.18640833,0.21090166,0.089075,1.3917533,0.16379336,0.71851814,1.4483843,0.18313476,1.9416893,0.32011855,0.37452823,-0.5058561,0.30546665,0.21948333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001b_0,0.0689,0.088477775,0.050873333333333326,1.4184220991418315,0.1730145,0.7050087562827851,1.429843774510089,0.17690182,0.0784375,2.088323941816276,0.35239953,0.3388795,-0.46566868,0.21515375,0.10624,0.30763625000000006,0.21688625,304.7249912,0.23096667,0.157825,0.18712857,0.20953333,0.24488571,0.1225,1.3919262,0.1638538,0.7184289,1.3619959,0.15325849,1.7779392,0.28004184,0.30686533,-0.4460522,0.33353335,0.23962,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001e_0,0.09184,0.1291875,0.07699375,1.2788544961712356,0.122366086,0.7819497863079041,1.4025442698521753,0.16754916,0.12003124999999998,2.2331358064777986,0.3814055,0.24247222,-0.40288532,0.28200625,0.1719375,0.39552625,0.3092816666666667,0.0,0.28216666,0.2247125,0.241175,0.26446667,0.29818332,0.1922,1.2667128,0.11766501,0.7894449,1.4350792,0.17867146,2.09277,0.35333052,0.18965636,-0.37189162,0.42791668,0.33781666,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000022_0,0.07016364,0.09988,0.0394975,1.4014953926222542,0.16718557,0.7135235729380172,1.3128243514362594,0.13525642,0.08051375,3.1001118214232966,0.5122084,0.2943644,-0.47224972,0.224606875,0.12244666666666665,0.294869375,0.21039625000000003,303.37373396,0.24125555,0.177325,0.2046,0.2220625,0.23983334,0.15366666,1.3285077,0.14108077,0.7527243,1.3801845,0.15972903,2.1901183,0.37306398,0.2217877,-0.4144263,0.33101428,0.2491625,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000024_0,0.098425,0.12948333,0.0823115625,1.252467768180209,0.11208496,0.7984237402396105,1.60286729202561,0.2316166,0.12770833333333334,2.1852488828650287,0.37210557,0.24057293,-0.39408615,0.29383125,0.17987125,0.4709725,0.376035625,307.07317094,0.27445555,0.2159,0.23911428,0.26081428,0.2962875,0.17884286,1.2337792,0.104656346,0.8105178,1.5877821,0.2271374,1.817047,0.2900367,0.21092659,-0.35889643,0.47044,0.3813,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_0,0.0627,0.084425,0.05234916666666666,1.2495922688630792,0.11095,0.8002610330726786,1.445390664578684,0.18213476,0.07956729166666666,2.023408522899123,0.33849496,0.29829845,-0.42248163,0.19598166666666664,0.10592375,0.2832700714285714,0.22669,304.11316561999996,0.1903,0.1363,0.159675,0.1761125,0.20136666,0.1178,1.2147934,0.09698127,0.8231852,1.4680682,0.18964963,1.8787878,0.30526313,0.23531322,-0.3853854,0.29562,0.24335,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002c_0,0.049355555,0.062961906,0.03984812499999999,1.3424623068751513,0.14619757,0.7448998715857427,1.4689830098015477,0.18994987,0.06453625,2.1728594507269787,0.36965376,0.32934675,-0.45345533,0.17162468749999998,0.08658437499999998,0.25211375,0.18779950000000004,304.472912225,0.1570282,0.11023334,0.12992904,0.14361714,0.16511177,0.08749167,1.3133934,0.13546911,0.7613865,1.490904,0.19707863,1.7726812,0.27867657,0.28437987,-0.4275933,0.24616578,0.18742731,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002d_0,0.06185,0.0858,0.05356178571428571,1.1864992826143774,0.08529583,0.8428155116929883,1.4910877550473232,0.19713788,0.07663625000000002,1.9633089511667658,0.32507882,0.2788566,-0.4174834,0.18648499999999998,0.10515833333333334,0.2780655,0.23435791666666667,307.36769033,0.19385,0.15225,0.1702,0.18315,0.20411429,0.12653333,1.1111498,0.052648913,0.8999687,1.5660344,0.22058722,2.0458097,0.34336016,0.21011288,-0.3863758,0.31965,0.287675,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002f_0,0.05034,0.0673,0.041615,1.4304643157452175,0.17711197,0.6990737126350741,1.5086291110387495,0.20275182,0.06290916666666667,2.1498257839721258,0.36504424,0.33701697,-0.48293215,0.18042125,0.08946500000000002,0.27218875,0.19028,304.40369732,0.17935,0.12026667,0.14423333,0.16155,0.1878,0.099366665,1.3975669,0.16582097,0.71552926,1.5292865,0.20926315,1.9739107,0.32748485,0.28697005,-0.45428747,0.2872,0.2055,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000031_0,0.043675,0.057866666,0.03515249999999999,1.348375991072145,0.14834762,0.7416329025592202,1.3969063595695805,0.1655911,0.05530083333333332,2.1460778038546335,0.36428782,0.373578,-0.498907,0.16541999999999998,0.07543999999999998,0.23107624999999998,0.17137375,301.86638714,0.1579,0.10208333,0.130525,0.14675,0.1694,0.07975,1.336523,0.1440273,0.7482101,1.4222255,0.17431302,1.8259873,0.29228276,0.32884493,-0.46361813,0.240925,0.1802625,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000035_0,0.051025,0.07633334,0.05432000000000001,1.4140390246572343,0.17151298,0.7071940608162507,1.248982354363065,0.1107089,0.09226999999999998,2.368671759941089,0.4062942,0.33545095,-0.473994,0.25856250000000003,0.12866624999999998,0.32294,0.22838125,0.0,0.2313,0.1515,0.1946,0.2174,0.2474,0.10695,1.4331999,0.17803709,0.6977394,1.1562922,0.0724819,2.0960314,0.3540117,0.3676275,-0.5037382,0.28606668,0.1996,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000037_0,0.05755,0.081366666,0.050744999999999985,1.4237335967264004,0.1748268,0.702378592666006,1.259374057393674,0.114799075,0.07867125,2.1402108582126327,0.36310008,0.3775549,-0.50680774,0.2403575,0.10860500000000001,0.3027,0.21261000000000002,0.0,0.23735334,0.150725,0.19262,0.218325,0.2564375,0.1138,1.3406291,0.14552885,0.7459185,1.382988,0.16071755,1.9774109,0.32827547,0.35185012,-0.489416,0.35465,0.26454,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000039_0,0.057516668,0.077366665,0.05025000000000002,1.4995249392977992,0.19984795,0.6668778716466577,1.3417453428192165,0.14593616,0.07940000000000001,2.466666666666666,0.42307693,0.33959594,-0.5199897,0.25142625,0.12395,0.33735000000000004,0.22497125,0.0,0.22152223,0.15476,0.17931667,0.2019125,0.24328572,0.123654544,1.462056,0.1876708,0.6839683,1.3923444,0.16399994,2.1498907,0.36505732,0.28352916,-0.48230484,0.3387375,0.23168571,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003b_0,0.045625,0.0629,0.041504999999999986,1.457325868938041,0.18610713,0.6861883270683337,1.2069078311128303,0.093754634,0.06571874999999999,2.102849054330804,0.3554311,0.43142962,-0.5395448,0.2197325,0.08727874999999999,0.265196875,0.181975,0.0,0.19608,0.11793333,0.1602,0.17905,0.2118,0.08721667,1.4113808,0.17059968,0.708526,1.235458,0.105328746,1.9115982,0.31309202,0.38427326,-0.5142482,0.26167,0.1854,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000003c_0,0.05875,0.07885,0.05732666666666667,1.1941488148054253,0.0884848,0.837416566178094,1.3733031674208145,0.15729266,0.08833291666666665,2.2116997616001854,0.37727678,0.2567147,-0.4163722,0.21437,0.12678937499999998,0.294395,0.24653125,310.55100629000003,0.1921,0.13395,0.16378,0.18167916,0.205475,0.10715,1.2262129,0.10161333,0.8155191,1.2286166,0.102582276,1.8238299,0.29174203,0.28387636,-0.4179738,0.25245,0.20587778,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013_0,0.05023,0.06775,0.03982749999999999,1.404271169605165,0.16814707,0.7121131741821397,1.3448057187805518,0.14705087,0.06368375000000001,2.340217186617288,0.40123653,0.374887,-0.5259524,0.20499708333333333,0.09320500000000001,0.27568125,0.19631625,0.0,0.20223333,0.13711429,0.168475,0.1879,0.216,0.1048,1.3415793,0.1458756,0.7453902,1.3424073,0.14617755,2.0864027,0.3519964,0.31733796,-0.49811715,0.28996,0.21613333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000038_0,0.0468,0.06815,0.045781249999999996,1.378657730185021,0.15918967,0.7253431929517389,1.242481398766475,0.10813084,0.07233250000000002,2.090539249146758,0.35286373,0.38600823,-0.49835286,0.2160475,0.0957075,0.268435,0.1947075,304.25672246,0.19132084,0.12513334,0.16438572,0.1837,0.20635,0.09243333,1.3407859,0.1455861,0.74583125,1.3310394,0.14201367,1.9750713,0.3277472,0.3484971,-0.47470012,0.27466,0.20485,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005_0,0.075844444,0.09645,0.0381995,1.188683831316516,0.08620881,0.8412665955861948,1.3003067164249968,0.13055073,0.06316125,1.9580971827728981,0.3238897,0.27533138,-0.3515189,0.13163625,0.07479833333333331,0.1711675,0.1439975,0.0,0.16942,0.128425,0.1469,0.16221666,0.17869167,0.1108,1.12867,0.060446188,0.88599855,1.2822087,0.12365593,1.4608848,0.18728419,0.2091928,-0.27445745,0.22912,0.203,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000030_0,0.06117778,0.0816,0.049995624999999995,1.4855673942828258,0.19535474,0.6731434762559265,1.1844425943503785,0.08443463,0.07708541666666666,2.1203105271711276,0.35903814,0.3795906,-0.50714093,0.23572375,0.10600625,0.27920125,0.1879425,0.0,0.20805,0.14403333,0.1784125,0.19963333,0.2281,0.11335,1.3891755,0.16289116,0.71985143,1.2389302,0.106716245,1.8527969,0.2989336,0.2946484,-0.43656135,0.2826,0.20343,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007_0,0.0604625,0.0767,0.04726166666666667,1.3766216396950652,0.15846933,0.7264160108811812,1.4521795155169093,0.18439902,0.06922499999999998,1.7737860140353352,0.27896383,0.35768548,-0.43816388,0.17719916666666666,0.08383208333333333,0.257325,0.18692499999999998,305.65811066,0.17535,0.124275,0.15,0.16633333,0.1877625,0.0983,1.3439914,0.14675456,0.74405235,1.5129485,0.20412217,1.6258011,0.2383277,0.28156403,-0.39139056,0.284075,0.21136667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009_0,0.042175,0.0554125,0.03167375,1.5785345238668131,0.22436564,0.6334989731807562,1.1795456031382805,0.08237754,0.053969375000000014,2.2793322546272536,0.39011973,0.4517859,-0.55971557,0.19118749999999998,0.07219499999999998,0.225514375,0.14286312499999998,0.0,0.15915833,0.09982,0.1333091,0.15102223,0.1777875,0.06945,1.4974118,0.19917093,0.66781896,1.2613508,0.11557284,1.6467102,0.2443449,0.3924106,-0.48350388,0.22425239,0.14976,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,0.07048889,0.0934875,0.07704187500000001,1.2189926739926742,0.09869013,0.8203494748861877,1.469622531106131,0.19015963,0.10902666666666666,1.8048301654132894,0.28694436,0.23911735,-0.35000485,0.2264425,0.1390475,0.33278500000000005,0.273,304.24305038,0.2074889,0.15181667,0.1682875,0.191125,0.22316,0.1288,1.2890459,0.12627353,0.77576756,1.4984764,0.19951215,1.8272383,0.2925959,0.23399194,-0.37877187,0.3344,0.25941667,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0,0.05724,0.0798,0.048098125000000005,1.3564192971509266,0.15125461,0.7372351617972681,1.4565348413736503,0.18584505,0.07746125,2.1400175855780934,0.3630609,0.3089243,-0.43130228,0.194955,0.10293083333333335,0.28395875,0.209344375,302.50669622,0.18835714,0.1382,0.163,0.1807091,0.20207693,0.11089667,1.2983388,0.12980627,0.77021503,1.5116354,0.2037061,1.9373981,0.31912532,0.25884542,-0.40482658,0.30546665,0.235275,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
